,language_score
0,0.999996381473089
1,0.9999968817693463
2,0.9999958928500385
3,0.999996631022761
4,0.9999967975300557
5,0.9999962379873932
6,0.9999955172408926
7,0.9999959501104376
8,0.9999966605047219
9,0.9999968663709213
10,0.9999978962923951
11,0.9999970643094862
12,0.9999977562021583
13,0.9999979422249867
14,0.9999987304725234
15,0.9999954865931652
16,0.9999963063473403
17,0.9999970075336744
18,0.999996940350161
19,0.9999969088527345
20,0.9999971873554158
21,0.9999958361058643
22,0.9999978461461451
23,0.9999976656979848
24,0.9999946739448085
25,0.9999962368656474
26,0.9999973165278446
27,0.9999952365864788
28,0.9999978647089124
29,0.9999978369761771
30,0.9999973628114509
31,0.9999962516716419
32,0.8571392876854115
33,0.9999958446454047
34,0.999998126181789
35,0.9999948865139265
36,0.9999963539928096
37,0.9999970741923511
38,0.9999959131554713
39,0.9999970144137436
40,0.9999987294503844
41,0.9999953173091569
42,0.9999983002202973
43,0.9999971854190721
44,0.9999978119840187
45,0.9999973642720196
46,0.8571387485314552
47,0.9999982345152716
48,0.9999970241176552
49,0.9999939143226348
50,0.9999981857961169
51,0.9999961777408938
52,0.9999973335342043
53,0.9999977976771179
54,0.999996954655891
55,0.9999971373882106
56,0.9999963010395281
57,0.9999962973822115
58,0.9999943977606944
59,0.9999980951734329
60,0.9999956583289994
61,0.9999966413434709
62,0.7142830693973833
63,0.9999978221138185
64,0.9999971183159109
65,0.9999981723627178
66,0.9999962503815999
67,0.9999964133901508
68,0.9999938020498277
69,0.999996144270514
70,0.999998220929466
71,0.999996884569595
72,0.9999970743203243
73,0.9999976607645984
74,0.9999971465022878
75,0.9999985869657818
76,0.8571419039969019
77,0.9999983057218613
78,0.9999969778987616
79,0.9999954839747569
80,0.9999968805345762
81,0.9999958755716274
82,0.9999973911163258
83,0.9999986822114164
84,0.9999964857534651
85,0.9999961039075627
86,0.9999968956098776
87,0.9999936326860996
88,0.9999973194646098
89,0.9999973602905143
90,0.9999967216391726
91,0.9999969957188362
92,0.9999976181927286
93,0.9999956973026819
94,0.9999951166126481
95,0.9999968559192723
96,0.9999956228863186
97,0.9999984260696381
98,0.9999974796735793
99,0.9999951470886039
100,0.9999976039631705
101,0.9999974188158304
102,0.9999955705714108
103,0.9999979972790359
104,0.9999968398397825
105,0.999996357437761
106,0.9999961909215788
107,0.9999971764847866
108,0.9999961411669139
109,0.9999965668818392
110,0.9999983806503092
111,0.9999973568724989
112,0.9999943209980018
113,0.9999958209421835
114,0.9999967119240646
115,0.9999960348578819
116,0.8571405311975033
117,0.9999989259662393
118,0.42857139370868713
119,0.9999972116930259
120,0.42856984498600914
121,0.9999955522562093
122,0.7142852207262779
123,0.9999967190808916
124,0.9999960402909135
125,0.8571410319135265
126,0.9999999273536546
127,0.9999941651458057
128,0.8571396551853646
129,0.9999976008694169
130,0.9999980987959309
131,0.999998228486311
132,0.9999962558669384
133,0.9999955186068199
134,0.9999977058283713
135,0.9999962506983116
136,0.9999958104921892
137,0.9999950367654227
138,0.9999946691863602
139,0.9999968426269477
140,0.9999944363933944
141,0.8571394336031174
142,0.9999957605265878
143,0.9999955925854969
144,0.9999962513021049
145,0.999995525260781
146,0.9999947484440974
147,0.9999969038567189
148,0.9999967279681929
149,0.9999960501035856
150,0.9999954815288001
151,0.7142821633265235
152,0.9999955121937238
153,0.9999942674085024
154,0.9999967087238164
155,0.9999951405762875
156,0.9999961872722672
157,0.9999961241403358
158,0.9999978444704604
159,0.9999954830836992
160,0.9999973272745201
161,0.9999976219071621
162,0.9999965237899158
163,0.9999955005662153
164,0.9999973072999231
165,0.9999974937271048
166,0.9999978284013401
167,0.9999958426522865
168,0.9999973932846438
169,0.9999970316316129
170,0.9999975391226292
171,0.9999949651030862
172,0.9999947665242307
173,0.9999961777130245
174,0.9999974841228714
175,0.9999977704678114
176,0.999996698534373
177,0.9999972760565674
178,0.9999975988018763
179,0.9999958384998733
180,0.9999986055396626
181,0.9999957566214672
182,0.9999976338604925
183,0.9999952796689067
184,0.9999962390910204
185,0.9999965396555359
186,0.999993600986133
187,0.9999971110731406
188,0.9999955679892542
189,0.9999985549289663
190,0.9999978220706579
191,0.9999963001149447
192,0.9999984791113405
193,0.9999965502180987
194,0.8571408877651656
195,0.9999963094471449
196,0.9999982226283225
197,0.9999963450386282
198,0.9999974343154102
199,0.9999947750294083
200,0.9999983520116489
201,0.9999941225347473
202,0.99999746567746
203,0.9999946314033579
204,0.9999969882716555
205,0.9999967759339686
206,0.9999955029939243
207,0.9999939554565337
208,0.9999950271931684
209,0.9999975125284125
210,0.9999977454223128
211,0.9999965903185971
212,0.9999960324785334
213,0.9999984264848439
214,0.9999949906041243
215,0.9999970098532501
216,0.7142834781727776
217,0.9999962060801749
218,0.9999980222266516
219,0.9999967447395012
220,0.9999950057233136
221,0.9999978594558596
222,0.9999982175643511
223,0.9999966088254459
224,0.9999953406365604
225,0.999997649229787
226,0.9999960994036801
227,0.9999978688936646
228,0.9999967576939746
229,0.999996784409118
230,0.9999969910258163
231,0.9999956675831935
232,0.9999976023842327
233,0.9999969478798825
234,0.9999957314805268
235,0.99999742587168
236,0.9999956867071467
237,0.9999977623071447
238,0.9999965020671311
239,0.9999980329944197
240,0.9999956656438478
241,0.9999974552671619
242,0.9999960762238583
243,0.9999974169704657
244,0.9999967091093422
245,0.9999962324927215
246,0.9999956041502418
247,0.9999955287937528
248,0.9999975345649372
