,id,artist,first_artist,song,weeks_on_chart,peak_rank,lyrics,url,url_first_word,artist_first_word
511,5368,"JACKBOYS, Pop Smoke & Travis Scott","JACKBOYS, Pop Smoke",GATTI,1,69,"AXL
Hahaha, huh? Hahaha
Tired of niggas cappin' (Tired of niggas cappin')
Trap House Mob
Niggas frontin' their jewels (Yeah, this is a Melo beat)
They ain't expectin' this one (And it's like that)

Facts, my bitch love coco (Haha)
Woo back, baby (Woo back, baby), woo (Haha, yeah)
Let me see some, okay, okay (I see ya), okay, okay

Look, you cannot say Pop and forget the Smoke (Yeah)
I'm from the Floss where niggas tote (Woah)
They couldn't be Crips, so they turned Folks (Bah)
Drivin' through the 'Ville, droppin' the cho (Brr)
I gotta laugh, 'cause these niggas jokes (Haha)
Dread like, ""Who these niggas?"" (Who these niggas?)
""I don't know"" (I don't know), but I'm on go (Woo)
And I'm in that Bugatti, movin' two hundred (Bah)
Givin' pumps, like, ""Who shot ya?"" (Brr)
Me and Trey, that's four choppers (Woo)
Man down (Woo), all you see is helicopters (Grr)
Paramedics pick him up, they gon' send him to the doctor (That nigga)
I'm in the hood like an engine, revvin' (Trey, get that nigga)
My checks is clearin' (Woo, woo), your checks is pending (Woo, woo)
And I got a couple gangstas, let me know (It's a fact)
If you want smoke (If you want smoke)
'Cause boy I can send 'em (Boy I can send 'em)
And I got a bad bitch, ass up (Hahaha)
Face down (Face down), yeah, she love doggy style (Uh-huh)
And she got a Louis bag (Yeah), that hold the extendo (Woo, woo)
Okay, okay (Okay, okay)
Okay, okay
Facts, my bitch love coco (Haha)
Woo back, baby (Woo back, baby), woo
Let me see some, okay, okay (I see it), okay, okay (Turn around)
My bitch love coco (Haha)
Woo back, baby (Woo back, baby), woo
Let me see some, okay, okay (I see it), okay, okay (Right)

Got it jumpin' out the zoo, seein' red, seein' blue (Yeah)
Young La Flame, how it moves, Pop Flare how it— (Woo)
Braid my hair down 'til I hide my face
Duck away, she wanna lay up and hibernate (Yeah)
I took a chance, it's a lot to take
I took a right, ended up right away (Straight up)
She need a chunk, not a piece (Alright)
It cost me three for the keys (Keys)
Not the work but the V
She let it twirl to the beat
I send the work, bet it reach (Reach)
Wearin' pearls, expensive beads (Beads)
I only hurl at my peeps (It's lit)

Cuts, diamond cuts out in public
Two cups of the stuff, now I'm up
Coco Chanel when she tuck it
We bunk, get a nut (Nah-nah-nah-nah-nah)
My bitch love coco (Haha)
Woo back, baby (Woo back, baby), woo
Let me see some, okay, okay (I see it), okay, okay (Turn around)
My bitch love coco (Haha)
Woo back, baby (Woo back, baby), woo
Let me see some, okay, okay (I see it), okay, okay (Turn around)70EmbedShare URLCopyEmbedCopy",https://genius.com/Jackboys-pop-smoke-and-travis-scott-gatti-lyrics,jackboys,"jackboys,"
515,5995,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Jack Harlow,Whats Poppin,45,2,"What's poppin'? (Pooh, you a fool for this one)
Brand new whip, just hopped in (Just hopped in)
I got options (Oh Lord, Jetson made another one)
I could pass that bitch like Stockton (It ain't nothin')
Just joshin'
I'ma spend this holiday locked in (Ooh)
My body got rid of them toxins (Mmh, mmh)
SportsCenter, top ten

I could put the ball in the end zone
Put a bad bitch in the friendzone, ooh
This shit sound like an intro
Jetson, give me that tempo, ooh
Told Pooh he a fool with this shit (He a fool)
Told her don't let her friends know (Don't)
In the 'Ville and I move like a don (Don)
Eating fettuccine at Vincenzo's
Me and my 'migos got that free smoke
On the West Coast, yeah, I'm talking 'bout pre-rolls (Pre-roll)
Dark haired bitch and she look like Shego (She do)
Hometown hero, feeling myself, can't murder my ego (Can't do it)
She heard of my deep stroke
She said, ""Babe, does it hurt when I deep throat?"" (It does)
Certified freak ho
Hang around us and she learnin' my lingo
Back then, wasn't worried 'bout me though
In the gym tryna work on my free throw
Goddamn (Goddamn)
Spending money at the club like Sam's (Cha-ching)
Yes, ma'am
She a lil' freak on cam (Facts)
But she don't put this on the 'Gram (Nah)
Lil' boys tryna diss on the 'Gram (Ayy)
I can't switch on the fam (Bitch)
Shit's hot, hit the switch on the fan (Hit that shit)
This where my head is (Listen)
I feel resentment from every direction
Even some homies be wearing expressions
I be discouraged from sharing my blessings (Damn)
We used to share a connection
Now it just feels like it's wearing and stretching
I'm getting real sick of taking advice
From people that never could stare at reflections (Ooh)
Somewhere in there is a lesson
Y'all ain't evolvin', it's very depressing
I'm at the club with the basketball team
Me and the Cardinals are sharing a section (Facts)
Gotta cherish the present
I'm drinking water and wearing protection
Got a career and I'm very invested
Some people call it a scary obsession (Ooh, period, but)
I like to call it a passion
I can't be sitting relaxin' (Nah, I can't)
PG, we getting some traction
I'm at the venue, it's packed in (Packed out)
I'm digging her accent
I got a B.B. Simon belt on me
And she tryna get it unfastened
That's my type of distraction
That's my type and she Latin (That's facts, ooh)
Got my own flow and I'm 'bout to get a patent
Brand new sheets for the bed, they satin (Soft, real soft)
Y'all wasn't tuned in back then (Nah)
My swag, they keep jackin' (Keep on jackin')
I ain't doin' no verse, quit askin' (Quit askin')
What's poppin'? (Pooh, you a fool for this one)
Brand new whip, just hopped in (Just hopped in)
I got options
I could pass that bitch like Stockton (It ain't nothin')
Just joshin'
I'ma spend this holiday locked in (Ooh)
My body got rid of them toxins (Mmh, mmh)
SportsCenter, top ten65EmbedShare URLCopyEmbedCopy",https://genius.com/Jack-harlow-whats-poppin-lyrics,genius,jack
516,10445,Jackson 5,Jackson 5,Santa Claus Is Comin' To Town,1,46,"Santa Claus is comin' to town
Santa Claus is comin' to town

You'd better watch out
You'd better not cry
You'd better not pout
I'm telling you why

Santa Claus is comin' to town
Santa Claus is comin' to town
Santa Claus is comin' to town

He's making a list
And checking it twice
Gonna find out who's naughty and nice

Santa Claus is comin' to town, oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town

He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake
(Be good for goodness sake)
Oh, you'd better watch out (Watch out)
You'd better not cry (Woo hoo)
Better not pout
I'm telling you why

Oh! Santa Claus is comin' to town, oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town (Woo hoo)
(Woo hoo...woo hoo)
Santa Claus is comin' to town
Santa Claus is comin' to town
Santa Claus is comin' to town

Little tin horns, and little toy drums
Rooty-toot-toot, and rump-a-tum-tums
Curly-haired dolls, that tootle and coo
Elephants, boats, and kiddie cars too

Oh! Santa Claus is comin' to town, oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town
One more time now
Santa Claus is comin' to town, oh yeah
Santa Claus is comin' to town
Santa Claus is comin' to town1EmbedShare URLCopyEmbedCopy",https://genius.com/The-jackson-5-santa-claus-is-coming-to-town-lyrics,the,jackson
535,9698,Joel Corry X MNEK,Joel Corry,Head & Heart,1,99,"Ba-ba-ba-dum ba-ba-dum ba-ba-dum
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum

Oh my god, oh my god, this feeling's just begun
Saying things I've never said, doing things I've never done
Oh my god, oh my god, when I see you I should run
But I'm frozen in motion and my head tells me to stop
(Tells me to stop)

Feeling feelings I feel about us
Try to fight it, but it's never enough
My heart is certain it's more than a crush
'Cause I'm frozen in motion and my head tells me to stop

But my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum
'Cause my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum

Oooh, oh my god, oh my god, can't believe what I've become
I'm thinking things I shouldn't think, singing songs I've never sung
Oh my god, oh my god, when I see you I should run
But I'm frozen in motion and my head tells me to stop
(Tells me to stop)
Feeling feelings I feel about us
Try to fight it, but it's never enough ('Cause my heart)
My heart is certain it's more than a crush
'Cause I'm frozen in motion and my head tells me to stop

But my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum
'Cause my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum (Mmm)
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum
But my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum
'Cause my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum

My head and my heart
My head and my heart
I can't tell them apart
My head tells me to run, but I can't
'Cause my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum (Oh-oh-ooh)
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum
'Cause my heart goes
Ba-ba-ba-dum ba-ba-dum ba-ba-dum (My heart goes)
Ba-ba-ba-dum ba-ba-dum ba-ba-da-dum (Oh-ooh)

Oh my god, oh my god, this feeling's just begun
Saying things I've never said, doing things I've never done
Oh my god, oh my god, when I see you I should run
But I'm frozen in motion and my head tells me to stop
But my heart goes6EmbedShare URLCopyEmbedCopy",https://genius.com/Joel-corry-head-and-heart-lyrics,spotify,joel
536,41,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,John,Happy Xmas (War Is Over),2,42,"(Happy Christmas, Kyoko
Happy Christmas, Julian)

So this is Christmas
And what have you done?
Another year over
And a new one just begun
And so this is Christmas
I hope you had fun
The near and the dear ones
The old and the young

A very Merry Christmas
And a happy New Year
Let's hope it's a good one
Without any fear

And so this is Christmas (War is over)
For weak and for strong (If you want it)
For rich and the poor ones (War is over)
The road is so long (Now)
And so happy Christmas (War is over)
For black and for white (If you want it)
For yellow and red ones (War is over)
Let's stop all the fight (Now)
A very Merry Christmas
And a happy New Year
Let's hope it's a good one
Without any fear

And so this is Christmas (War is over)
And what have we done? (If you want it)
Another year over (War is over)
And a new one just begun (Now)
And so happy Christmas (War is over)
We hope you had fun (If you want it)
The near and the dear ones (War is over)
The old and the young (Now)

A very Merry Christmas
And a happy New Year
Let's hope it's a good one
Without any fear

War is over, if you want it
War is over, now
Happy Christmas
Happy Christmas, Christmas
Happy Christmas, Christmas7EmbedShare URLCopyEmbedCopy",https://genius.com/John-lennon-and-yoko-ono-happy-xmas-war-is-over-lyrics,nan,john
540,2390,John Rich Featuring The Five,John Rich,Shut Up About Politics,1,91,"Shut up about politics
Ain't nothing but a big pile of dirty tricks
I'm tired of all the fighting and the pitching fits
So shut up about politics

You punch left, I punch right
We're caught up in the middle of a deep swamp fight
Some people lie, some people steal
And everybody's talking 'bout the great new deal

Shut up about politics
Ain't nothing but a big pile of dirty tricks
I'm tired of all the fighting and the pitching fits
So shut up about politics

All this fussing and carrying on
It's been going on a little too long
But I got something to fix us all up
Take a shot of my whiskey from a big red cup

Shut up about politics
Ain't nothing but a big pile of dirty tricks
I'm tired of all the fighting and the pitching fits
So shut up about politics
Shut up about politics
Ain't nothing but a big pile of dirty tricks
I'm tired of all the fighting and the pitching fits
So shut up about politics
Shut up about politics
Ain't nothing but a big pile of dirty tricks
I'm tired of all the fighting and the pitching fits
So shut up about politics
Shut up about politics
So shut up about politicsEmbedShare URLCopyEmbedCopy",https://genius.com/John-rich-shut-up-about-politics-lyrics,kevin,john
552,7332,Jonas Brothers Featuring Karol G,Jonas Brothers,X,7,33,"Yeah
Ooh-la-la, by the pool, yeah singing ""Bailando""
Two long nights with the view, yeah
Keeping those blinds closed (Yeah)
She said, ""I wanna find somebody by nightfall""
Ooh-na-na, could it be yeah
Baby, I like you

Watching her move, I was lost in the rhythms
Then she pulled me close by the look in her eyes
Don't know her name, but I know that I need her
She said, ""Boy, you won't be lonely tonight""

She said, ""Ooh-ooh-ooh""
Kiss me like your ex is in the room
Don't you be afraid of something new
If you play it right, you can be that someone
Yeah, that someone who
Won't leave me lonely tonight

Yeah, yeah, yeah
Yeah, yeah, yeah (Yeah)
Ooh-la-la, make a move, yeah, baby, by last call
Full moon night with the lights up
Baby, your eyes glow (Yeah)
Don't know why but I feel like I'ma go psycho (Psycho)
Ooh-la-la, if it's cool, yeah, baby, I'd like to

Watching her move I was lost in the rhythms
Then she pulled me close by the look in her eyes (huh!)
Don't know her name, but I know that I need her
She said, ""Boy, you won't be lonely tonight""

She said, ""Ooh-ooh-ooh"" (Ooh-ooh-ooh)
Kiss me like your ex is in the room (Ooh-ooh-ooh)
Don't you be afraid of something new
If you play it right, you can be that someone
Yeah, that someone who (Ha)
Won't leave me lonely tonight
Caliente, te pongo caliente (Ah)
No te de miedo vivir algo diferente (Eh, eh)
Las ganas no se equivocan (-vocan; eh)
Pon tu lengua en mi boca (Boca; eh)
Vive la vida loca, loca, loca, ah
Toda la noche bailando contigo
Suave y salvaje como un animal
Yo sé que te gusta, pero esto es prohibido
Yo me voy contigo, dame la señal

She said, ""Ooh-ooh-ooh"" (Ooh-ooh-ooh)
Kiss me like your ex is in the room (Ooh, ooh, ooh)
Don't you be afraid of something new
If you play it right, you can be that someone
Yeah, that someone who (Yeah, yeah, uh)
Won't leave me lonely tonight

Ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh
Tonight
Someone who
You won't be lonely tonight7EmbedShare URLCopyEmbedCopy",https://genius.com/Jonas-brothers-x-lyrics,genius,jonas
556,2258,Joyner Lucas Featuring Logic,Joyner Lucas,Isis,2,59,"Attention Deficit Hyperactivity Disorder, or better known as ADHD, is a mental disorder that affects an individual's ability to focus
Causing them to move around more frequently
They may also have trouble controlling their impulsive behaviors

One time for them prayin' on my downfall (Yeah)
Two times for the homies in the chow hall (Whoa)
Three times for them hoes on the internet
Shittin' on niggas when they really should get out more
Four times for the days that were all bad (Woo!)
Five times for the bitches who ain't called back (Yeah)
Six times for the kids like me who got ADHD just to— (Brap, brap, brap)

Kidnap a nigga like ISIS (Whoa)
Turn a whole world to a crisis (Whoa)
Walk around the city with a ice pick
I been paranoid, usually, I ain't like this (Boop, boop)
Ain't no tellin' how crazy I might get, uh (Woo!)
Beat the police with a nightstick (Boop)
In my whole life, I been lifeless
Now I'm so fly, I'm a muhfuckin' flight risk (Woo! Whoa)
Fuck a couple hoes 'til I pass out (Whoa)
Niggas throwin' stones at my glass house (Whoa)
I remember sleepin' on my dad's couch (Whoa)
Now I got the Bentley, and it's blacked out (Whoa)
Family lookin' at me like a cash cow (Whoa)
Errybody dissin' just to have clout (Whoa)
Thought you had a chance, now you assed out
Nigga, I'm the muhfuckin' man, where you at now? (Whoa)
Fuck it, I'ma hit 'em 'til they jumpin'
I ain't trippin', this is nothin' (Brap, brap, brap)
I been livin' in the dungeon
I done held a couple grudges
Went to hell and got abducted
Meet the devil, I'm his cousin
I ain't settlin' for nothin' (Brap, brap, brap)
Got a metal in the truck, I keep a semi when I'm bussin'
Niggas duckin' (Bop)
Even Stevie Wonder could've see it comin' (Brrrap, brap, bop)
I ain't judgin', I just want the money, I don't need a budget
I been hungry, I ain't got no oven (Bop, bop, brrrap, brap)
But I got the munchies, nigga
How you gon' move on the front line? (Woo!)
If I don't fuck with you, I just cut ties (Whoa)
My high school teacher said I'd never be shit
Tell that bitch that I turned out just fine (Joyner)
And no, I don't know you for the twelfth time (Woo!)
We do not share the same bloodline (No)
You love to run your mouth like a tough guy
Hope you keep the same energy when it's crunch time (Woo!)
According to the American Psychiatric Association
It affects roughly eight percent of children
And two percent of adults
Commonly believed to only affect boys
Because they are perceived as rowdy and rambunctious

One time for them prayin' on my downfall (Yeah)
Two times for them bitches in the South Shore (Whoa)
Three times for them days on the block
Gettin' chased by the cops like a motherfuckin' outlaw
Four times for them days that were all bad (Woo!)
Five times for the bitches who ain't called back (Yeah)
Six times for the kids like me who got ADHD just to— (Brap, brap, brap)

Me and Joyner need a couple hearses (Woo!)
Double homicide, kill the beat and the verses
Everybody livin' on the surface
But we came from the underground, yeah, we deserve it
What's beef?
Beef is when you murder motherfuckers on a beat
Kill 'em all, kill 'em all
Nah, nah, what's beef?
Beef is brothers dyin' over shit
That never mattered in the first place, lyin' in the street
What's peace?
Peace is when you leave it in the past, let it heal like a cast
When enough time pass, then you blast
Kinda like John Wick, bars like a convict
Fuck around and you don't wanna start shit, woo!
Comin' with the hot shit, all they do is talk shit
You could never top it, boy, just stop, stop it
High and drunk, call that HD vision
All these other motherfuckers full of indecision
And I murder with precision all over your television
I'm numero uno, number one and you is just a subdivision
Never listen, we gon' leave them missin'
That's the mission like ISIS (ISIS)
Ain't no time to bicker over who the nicest
It's Logic, it's obvious, just ask the audience
I've come to body this shit (Body this shit)
Yes, it's egregious, I'm Regis
You Kelly, you pussy, you pussy
Don't push me, I'm Louis Vuitton
You at Target with your mom
On the internet still hatin' on my last post (I hate this nigga)
I just sent a steak back at Mastro's, my god
Me and Joyner need a couple hearses (Woo!)
Double homicide, kill the beat and the verses
Everybody livin' on the surface
But we came from the underground, yeah, we deserve it
Yeah, uh, far from the minimum, killin' 'em with no Ritalin
And 5'9"" was the middleman to get 'em in the same room
Now we on the same tune, and we sealed the game's doom
The illest of lyricists on the same shit
RattPack, clap back on the gang shit
Do it for the love of rap, not for the fame shit, woo!
One time for the Grammy that I never got
Two times for the Garden that I sold out
Three times for the street crimes that I committed
Yeah, I did it, but thank God that I made it out
Four times 'cause I'm a fuckin' bastard
Five times Platinum with my last shit
Six times for the beats and the rhymes
Fuck the heat and the crime
Keep the peace like a waistline, woo!

ISIS, ISIS, ISIS, ISIS, ISIS
ISIS, ISIS, ISIS, ISIS, ISIS
ISIS, ISIS, ISIS, ISIS, ISIS
ISIS, ISIS, ISIS177EmbedShare URLCopyEmbedCopy",https://genius.com/Joyner-lucas-isis-lyrics,tz,joyner
584,8073,Juice WRLD X Halsey,Juice WRLD,Life's A Mess,6,9,"Have you ever fallen head over heels for somebody?
Not just somebody
No, no
(Rex, you did it again)

Have you ever fallen head over heels for somebody
That made promises to give you the world? Um
I really hope they held you down
I really hope it was no lying
'Cause when heart breaks it feel like the world's gone
But if the love's real, you'd feel your soul roar like a lion
And you'd finally let bygones be bygones
Don't throw in the towel, I know it feels like you're the only one trying
You just gotta learn to live and love on

I belong with the one put on this Earth for me
Everybody has their someone, just gotta look and see
I'm screaming out, ""Lord, help me, I've been lonely""
That's when you accept me, then you set me free

Uh, sometimes life's a mess
Uh, I get high when I'm upset
I remember when me and love didn't click
Searchin' for somethin' real, then I found it
Uh, sometimes life's a mess
Yeah, I get high when I'm upset
I remember when me and love ain't click
Lookin' for somethin' real, then I found it
Been pretty fuckin' bad, but it's better now
Through the trials and tribulations, I found my way out
Feel all of the good and bad vibrations all around
All around us, they surround us
Was a lost cause with some lost love
It ain't my fault, pain chose us
Then I found her
My whole world turned upside down, uh
But for the better

I belong with the one put on this Earth for me
Everybody has their someone, just gotta look and see
I'm screaming out, ""Lord, help me, I've been lonely""
That's when you accept me, then you set me free

Uh, sometimes life's a mess
Uh, I get high when I'm upset
I remember when me and love didn't click
Searchin' for somethin' real, then I found it
Uh, sometimes life's a mess
Yeah, I get high when I'm upset
I remember when me and love ain't click
Lookin' for somethin' real, then I found it
Thank God I finally found you
You put the light in my eyes when I'm around you
I'm too flawed to hold you down, but
Don't wanna be here alone
And I thank God I finally found you
I'll put the light in your eyes if I'm allowed to
I'm too flawed to hold you down, but
Don't let me be here alone97EmbedShare URLCopyEmbedCopy",https://genius.com/Juice-wrld-and-halsey-lifes-a-mess-lyrics,genius,juice
585,8101,Juice WRLD x Marshmello,Juice WRLD,Come & Go,20,2,"Woah, uh
Oh, oh-oh, oh (Mello made it right, uh)

I try to be everything that I can
But sometimes, I come out as bein' nothin’
I try to be everything that I can
But sometimes, I come out as bein' nothin'
I pray to God that He make me a better man (Uh)
Maybe one day, I’ma stand for somethin'
I'm thankin' God that He made you part of the plan
I guess I ain't go through all that Hell for nothin'
I'm always fuckin' up and wreckin’ shit
It seems like I perfected it
I offer you my love
I hope you take it like some medicine
Tell me ain’t nobody better than me
I think that there's better than me
Hope you see the better in me
Always end up betterin’ me

I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don’t always come and go
I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go

We take drugs, then you hold me close
Then I tell you how you make me whole
Sometimes, I feel you like bein' alone
Then you tell me that I shoulda stayed in the room
Guess I got it all wrong all along, my fault
My mistakes probably wipe all the rights I've done
Sayin' goodbye to bygones, those are bygones
Head up, baby, stay strong, we gon' live long

I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go
I don't wanna ruin this one
This type of love don't always come and go73EmbedShare URLCopyEmbedCopy",https://genius.com/Juice-wrld-and-marshmello-come-and-go-lyrics,dmvmisfit,juice
586,10271,Juice WRLD x benny blanco,Juice WRLD,Real Shit,1,72,"Life's good, oh

Real shit, real shit, never tell a lie
Real shit, never tell a lie, yeah, ayy, what?
Real shit, real shit, never tell a lie
Real shit, never tell a lie, yeah, ayy

Life’s good, so I'm living great (Great)
I hit up my lady, we should take a vacay ('Cay)
Eatin’ good (Ayy), see it on our plate (Yeah)
I know that they hate me (Yeah, yeah, yeah), I see it on their face, hey

You see I'm livin' great, yeah
Big crib, need a new estate, yeah
Money goin' into real estate, yeah
Life's good, life's great (Yeah, yeah)
Stomach big, I already ate (Yeah, yeah)
I'm a stingy nigga, won't pass the plate (Yeah, yeah)
Tryna ball while they playin’ keep away (Yeah, yeah)
Tryna ball while they playin’ keep away, yeah (Yeah, yeah)

Life's good
Life’s good, life's good, life's good
Life's good, life’s good, life's good
Real shit, real shit, never tell a lie
Real shit, never tell a lie, yeah, ayy, what?
Real shit, real shit, never tell a lie
Real shit, never tell a lie, yeah, ayy

Life's good, so I'm living great (Great)
I hit up my lady, we should take a vacay ('Cay)
Eatin' good (Ayy), see it on our plate (Yeah)
I know that they hate me (Yeah, yeah, yeah), I see it on their face, hey

I'm eatin' too damn good
Goddamn, tryna gain weight, uh, ayy
Workin' out my demons, they in better shape, yeah, ayy
Demons on my back, get them away from me, uh, ayy
Cut it like a razor blade, hey, uh
Turned on like a light switch
Havin' black hoes snortin' up the white bitch, uh, ayy
Main ho found out 'bout my mistress
Gotta flip the script like a kickflip
I'ma make her bawl her eyes out
While these niggas out of bounds
One, two, three million, had to stop countin'
In the club, ballin' hard, think I need a bouncer
She look like a trampoline from the way she bouncin' (Yeah, uh, yeah)
From the way she bouncin'
Labels want my music, tell the studio to bounce it
This shit isn't out yet
I'ma need like three M's, put that shit on my desk, ha, ayy
Real shit, real shit, never tell a lie
Real shit, never tell a lie, yeah, ayy, what?
Real shit, real shit, never tell a lie
Real shit, never tell a lie, yeah, ayy

Life's good, so I'm living great (Great)
I hit up my lady, we should take a vacay
Eatin' good (Ayy), see it on our plate (Yeah)
I know that they hate me, I see it on their face54EmbedShare URLCopyEmbedCopy",https://genius.com/Benny-blanco-and-juice-wrld-real-shit-lyrics,spotify,juice
593,9102,Justin Bieber Featuring Chance The Rapper,Justin Bieber,Holy,14,3,"I hear a lot about sinners
Don't think that I'll be a saint
But I might go down to the river
'Cause the way that the sky opens up when we touch
Yeah, it's makin' me say

That the way you hold me, hold me, hold me, hold me, hold me
Feels so holy, holy, holy, holy, holy
On God
Runnin' to the altar like a track star
Can't wait another second
'Cause the way you hold me, hold me, hold me, hold me, hold me
Feels so holy

I don't do well with the drama
And, no, I can't stand it being fake
(No, no, no, no, no, no, no, no)
I don't believe in nirvana
But the way that we love in the night gave me life
Baby, I can't explain

That the way you hold me, hold me, hold me, hold me, hold me
Feels so holy, holy, holy, holy, holy
On God
Runnin' to the altar like a track star
Can't wait another second
'Cause the way you hold me, hold me, hold me, hold me, hold me
Feels so holy
They say we're too young and
The pimps and the players say, ""Don't go crushin'""
Wise men say fools rush in
But I don't know (Ah-ah-ah-ah)
They say we're too young and
The pimps and the players say, ""Don't go crushin'""
Wise men say fools rush in
But I don't know (Chance the Rapper)

The first step pleases the Father
Might be the hardest to take
But when you come out of the water
I'm a believer, my heart is fleshy
Life is short with a temper like Joe Pesci
They always come and sing your praises, your name is catchy
But they don't see you how I see you, Parlay and Desi
Cross, Tween, Tween, Hesi' hit the jet speed
When they get messy, go lefty like Lionel Messi
Let's take a trip and get the Vespas or rent a Jet Ski
I know the spots that got the best weed, we goin' next week
I wanna honor, wanna honor you, bride's groom, I'm my father's child
I know when the son takes the first steps, the Father's proud (Yes)
If you make it to the water, He'll part the clouds (Uh)
I know He made you a snack like Oscar Proud (Mwah)
Suffer it to be so now gotta clean it up (Ooh)
Formalize the union in communion, He can trust (Woo)
I know I ain't leavin' you like I know He ain't leavin' us (Ah)
I know we believe in God, and I know God believes in us
'Cause the way you hold me, hold me, hold me, hold me, hold me
Feels so holy, holy, holy, holy, holy
On God
Runnin' to the altar like a track star
Can't wait another second, on God
Runnin' to the altar like a track star
Can't wait another second, on God
Runnin' to the altar like a track star
Can't wait another second
'Cause the way you hold me, hold me, hold me, hold me
Feels so ho-ho-ho-holy39EmbedShare URLCopyEmbedCopy",https://genius.com/Justin-bieber-holy-lyrics,genius,justin
594,5892,Justin Bieber Featuring Kehlani,Justin Bieber,Get Me,1,93,"Oh, you don't compare, don't fit in with 'em, do you get me?
Judgin' by the way you open up, you get me
Ooh, out of this world, hands-on, baby, now you send me
Lookin' at the way we're blendin' in, you get me

Ha-ha-ha, you get me
Ha-ha-ha, you get me

See, you're lookin' beyond the surface
Can tell by the questions you're asking
You got me low-key nervous
It feels like we're on the same wave, yeah
Never intended to relate, I mean, what are the chances?
Never thought I'd connect with you, not in these circumstances

Oh, you don't compare, don't fit in with 'em, do you get me?
Judgin' by the way you open up, you get me
Ooh, out of this world, hands-on, baby, now you send me
Lookin' at the way we're blendin' in, you get me

Ha-ha-ha, you get me
Ha-ha-ha, you get me
Ooh, there's so much chemistry
Like a chemist, how you finishin' my sentences
In the center, no, we can't deny this energy
How 'bout reapin' all the benefits? Yeah
Never intended to relate, I mean, what are the chances?
Never thought I'd connect with you, not in these circumstances, no

Oh, you don't compare, don't fit in with 'em, do you get me?
Judgin' by the way you open up, you get me (Yeah, you really get me, ooh)
Ooh, out of this world, hands-on, baby, now you send me (Ooh, that's where you send me)
Lookin' at the way we're blendin' in, you get me (Ooh, you really get me)

Ha-ha-ha, you get me (Ooh)
Ha-ha-ha, you get me (Oh, oh)

Get me, yeah
Get me, yeah
Get me, yeah
Get me, yeah28EmbedShare URLCopyEmbedCopy",https://genius.com/Justin-bieber-get-me-lyrics,genius,justin
